Date,Open,High,Low,Close,Adj Close,Volume
2017-08-18,69.699997,70.510002,69.580002,70.070000,70.070000,2636100
2017-08-21,70.169998,70.169998,69.330002,69.519997,69.519997,2429400
2017-08-22,69.720001,70.300003,69.599998,70.150002,70.150002,2918300
2017-08-23,70.010002,70.129997,69.839996,70.019997,70.019997,2021400
2017-08-24,70.120003,70.339996,69.519997,69.820000,69.820000,1473600
2017-08-25,70.089996,70.739998,69.769997,69.779999,69.779999,2959000
2017-08-28,69.980003,70.290001,69.809998,69.959999,69.959999,2961900
2017-08-29,69.389999,69.779999,69.239998,69.650002,69.650002,1666300
2017-08-30,69.580002,69.879997,69.370003,69.669998,69.669998,1943400
2017-08-31,69.839996,71.000000,69.699997,70.769997,70.769997,3379100
2017-09-01,70.849998,71.230003,70.750000,70.830002,70.830002,2862100
2017-09-05,70.570000,70.730003,69.879997,70.540001,70.540001,1983000
2017-09-06,70.730003,71.070000,70.529999,70.930000,70.930000,1636700
2017-09-07,71.019997,71.800003,70.949997,71.419998,71.419998,2174500
2017-09-08,71.220001,71.629997,71.000000,71.099998,71.099998,2479700
2017-09-11,71.720001,72.330002,71.209999,72.180000,72.180000,3161000
2017-09-12,72.379997,73.000000,72.099998,72.839996,72.839996,2854300
2017-09-13,72.820000,72.989998,72.190002,72.269997,72.269997,3279600
2017-09-14,71.989998,72.239998,71.500000,71.739998,71.739998,3333300
2017-09-15,71.769997,71.930000,71.410004,71.820000,71.820000,3860900
